,Entity,2010,Mismanaged plastic waste to ocean per capita (kg per year),Population
0,Albania,0.719,0.543214162,2913021.0
1,Algeria,0.677,0.134113767,35856344.0
2,Angola,0.403,0.027022781,23364185.0
3,Argentina,0.775,0.09238293,40788453.0
4,Australia,0.937,0.00126969,22031750.0
6,Bahrain,0.801,0.0,1213645.0
7,Bangladesh,0.469,0.151122996,148391139.0
8,Barbados,0.788,0.156794425,274711.0
9,Belgium,0.867,0.002946529,10895586.0
10,Belize,0.694,0.958974359,322106.0
11,Benin,0.435,0.138886535,9445710.0
12,Bosnia and Herzegovina,0.71,0.001817631,3811088.0
13,Brazil,0.699,0.179099739,196353492.0
14,Bulgaria,0.743,0.001,7395599.0
15,Burkina Faso,0.305,0.0,16116845.0
16,Cambodia,0.494,0.067507733,14363532.0
17,Cameroon,0.46,0.412389859,19878036.0
18,Canada,0.888,0.006361765,34004889.0
20,Chile,0.783,0.016990291,17004162.0
21,China,0.663,0.049314957,1337705000.0
22,Colombia,0.689,0.00856195,44816108.0
23,Comoros,0.428,0.0,656024.0
25,Costa Rica,0.725,0.089144216,4622252.0
26,Croatia,0.767,0.054237288,4295427.0
27,Cyprus,0.81,0.002502085,1129686.0
28,Denmark,0.866,0.001559252,5547683.0
29,Djibouti,0.402,0.004106776,919199.0
30,Dominican Republic,0.663,0.584411956,9775755.0
31,Ecuador,0.695,0.065385058,14989585.0
33,El Salvador,0.659,0.125193678,6114034.0
34,Equatorial Guinea,0.538,0.298672566,1094524.0
35,Estonia,0.812,0.009049774,1331475.0
36,Fiji,0.669,0.41011236,905169.0
37,Finland,0.871,0.0,5363352.0
38,France,0.872,0.003608168,65030575.0
39,Gabon,0.648,0.20478601,1711105.0
41,Georgia,0.698,0.000750563,3786695.0
42,Germany,0.885,0.001604464,81776930.0
43,Ghana,0.467,0.13758301,25574719.0
44,Greece,0.855,0.020624463,11121341.0
45,Guatemala,0.56,0.406234003,14259687.0
46,Guinea,0.34,0.183775742,10270728.0
47,Guinea-Bissau,0.289,0.128578865,1567220.0
48,Guyana,0.611,1.591315453,747932.0
49,Haiti,0.404,0.615200213,9842880.0
50,Honduras,0.604,0.249948697,8450933.0
52,Iceland,0.869,0.0,318041.0
53,India,0.519,0.092587331,1240613620.0
54,Indonesia,0.6,0.208158135,244016173.0
56,Ireland,0.895,0.02355592,4560155.0
57,Israel,0.872,0.003873694,7623600.0
58,Italy,0.854,0.006837325,59277417.0
59,Jamaica,0.688,0.791723202,2733896.0
60,Japan,0.884,0.014464764,128070000.0
61,Jordan,0.681,9.9e-05,6931258.0
62,Kazakhstan,0.714,0.000700771,16321872.0
63,Kenya,0.47,0.004926389,41517895.0
64,Kuwait,0.771,0.001663894,2943356.0
65,Latvia,0.769,0.004719455,2097555.0
66,Lesotho,0.427,0.0,2022747.0
67,Liberia,0.3,0.534332591,4019956.0
68,Lithuania,0.783,0.002536232,3097282.0
69,Madagascar,0.435,0.028736698,21731053.0
70,Malaysia,0.744,2.287887324,28717731.0
71,Maldives,0.602,0.0,361575.0
72,Malta,0.815,0.0,414508.0
73,Mauritania,0.433,0.028060097,3419461.0
74,Mauritius,0.701,0.0,1250400.0
75,Mexico,0.75,0.027528689,112532401.0
76,Montenegro,0.769,0.0,619428.0
77,Morocco,0.567,0.049352928,32464865.0
78,Mozambique,0.284,0.08377791,23073723.0
79,Myanmar,0.451,0.047071885,49390988.0
80,Namibia,0.606,0.000801603,2099271.0
81,Netherlands,0.89,0.015850734,16615394.0
82,New Zealand,0.907,0.014217019,4350700.0
83,Nicaragua,0.565,0.223800794,5855734.0
84,Nigeria,0.423,0.092752931,160952853.0
85,Norway,0.938,0.0,4889252.0
86,Pakistan,0.49,0.004031122,194454498.0
87,Panama,0.755,1.233396138,3623617.0
88,Papua New Guinea,0.431,0.348564266,7583269.0
89,Peru,0.723,0.007966779,29229572.0
90,Philippines,0.638,3.296160641,94636700.0
91,Poland,0.795,0.000765414,38042794.0
92,Portugal,0.795,0.007432036,10573100.0
93,Qatar,0.803,0.0,1713504.0
94,Romania,0.767,0.004131164,20246871.0
95,Sao Tome and Principe,0.488,0.358139535,182138.0
96,Saudi Arabia,0.752,8.75e-05,29411929.0
97,Senegal,0.411,0.010370643,12530121.0
98,Sierra Leone,0.317,0.463842314,6436698.0
99,Singapore,0.846,0.028256375,5076732.0
101,Slovenia,0.828,0.005291005,2048583.0
102,Solomon Islands,0.494,0.149253731,540394.0
103,South Africa,0.597,0.072850849,51784921.0
104,Spain,0.863,0.005028136,46576897.0
105,Sri Lanka,0.658,0.452729319,20261738.0
106,Sudan,0.379,0.002475883,33739933.0
107,Suriname,0.646,2.886402754,546080.0
108,Sweden,0.885,0.003587086,9378126.0
109,Tanzania,0.398,0.099732782,45110527.0
110,Thailand,0.654,0.327550053,68270489.0
111,Togo,0.428,0.053947043,6571855.0
112,Tonga,0.677,0.0,107383.0
113,Trinidad and Tobago,0.736,2.549820789,1410296.0
114,Tunisia,0.683,0.058828559,10895063.0
116,Ukraine,0.71,0.01952539,45870741.0
117,United Arab Emirates,0.815,0.001432811,8481771.0
118,United Kingdom,0.849,0.010410188,62766365.0
119,United States,0.902,0.007387598,309327143.0
120,Uruguay,0.765,0.288272675,3352651.0
123,Zimbabwe,0.14,0.0,12839771.0
