,Entity,"GDP per capita (output, multiple price benchmarks)",Mismanaged plastic waste per capita (kg per year)
0,Albania,12531.788,24.23915307
1,Algeria,11787.492,17.75899473
2,Angola,7159.579,7.445278869
4,Antigua and Barbuda,16514.492,6.463917526
5,Argentina,21826.838,10.40191152
8,Australia,54147.008,0.20894338
11,Bahamas,33088.543,5.686375321
12,Bahrain,46964.977,0.635588056
13,Bangladesh,4658.01,6.268108387
14,Barbados,12217.291,3.038327526
16,Belgium,44839.68,0.19793743
17,Belize,5602.4204,15.43846154
18,Benin,3245.0645,11.29861876
22,Bosnia and Herzegovina,13795.342,16.82853681
24,Brazil,14593.961,15.62046908
26,Brunei,73249.19,1.598152425
27,Bulgaria,21347.125,0.445285714
28,Burkina Faso,2120.1392,15.61429064
30,Cambodia,4500.0527,15.01152423
31,Cameroon,3651.4968,22.36814036
32,Canada,49884.055,0.630483013
33,Cape Verde,7271.0767,6.487272727
37,Chile,23252.557,1.623417054
38,China,14128.812,8.559308412
39,Colombia,14057.756,1.697570472
40,Comoros,3208.8936,69.51586369
41,Congo,4657.116,12.13361829
42,Costa Rica,18522.178,1.139263074
43,Cote d'Ivoire,5035.349,11.33934751
44,Croatia,26001.002,4.247941889
46,Cyprus,32301.82,0.698081735
48,Democratic Republic of Congo,1021.6937,15.78193592
49,Denmark,54027.15,0.067567568
50,Djibouti,6132.4233,10.56365503
51,Dominica,10327.737,15.02777778
52,Dominican Republic,17926.738,18.06667287
53,Ecuador,11235.628,6.262058248
54,Egypt,12059.8955,14.29961748
55,El Salvador,8116.269,3.361171367
56,Equatorial Guinea,24712.76,6.934365782
57,Estonia,33852.387,0.452488688
60,Fiji,13753.734,4.334831461
61,Finland,44928.516,0.473788865
62,France,43755.062,0.426531552
63,Gabon,15492.227,2.757017948
64,Gambia,2408.8591,14.9467632
65,Georgia,17055.666,0.076807606
66,Germany,51190.89,0.606774669
67,Ghana,5363.2695,17.09520679
68,Greece,27201.492,0.430249212
69,Grenada,15374.282,12.11607143
70,Guatemala,7769.828,17.68972186
71,Guinea,2286.8052,11.58852087
72,Guinea-Bissau,1850.2985,10.65330557
73,Guyana,13010.421,35.20434227
74,Haiti,1554.0212,21.12829619
75,Honduras,5428.0635,14.97999179
76,Hong Kong,54810.02,0.777434104
78,Iceland,53011.742,0.445427729
79,India,6711.385,9.509608
80,Indonesia,11595.102,3.045657286
81,Iran,13240.924,5.981679813
82,Iraq,11920.252,12.51007377
83,Ireland,102622.45,0.547931176
84,Israel,38562.625,0.711351098
85,Italy,40732.03,0.640842279
86,Jamaica,8434.522,16.84972863
87,Japan,39704.234,0.281286458
88,Jordan,10789.006,12.31686795
89,Kazakhstan,28306.396,2.92393941
90,Kenya,4236.668,5.514455815
91,Kuwait,62054.52,0.627525553
94,Latvia,29411.12,0.500786576
95,Lebanon,14749.867,6.800175029
96,Lesotho,2694.87,14.30164706
97,Liberia,1258.1931,8.087907636
98,Lithuania,32483.44,0.375724638
101,Madagascar,1539.063,0.936260151
103,Malaysia,25735.309,25.491518
104,Maldives,19411.275,0.11299435
106,Malta,38910.08,0.588636364
107,Mauritania,4676.1816,4.594785683
108,Mauritius,23437.75,0.235433071
109,Mexico,18736.527,3.375352731
112,Montenegro,21849.92,0.025477707
114,Morocco,7923.9307,8.101776705
115,Mozambique,1228.8705,14.30652704
116,Myanmar,5153.375,8.038338422
117,Namibia,9353.127,8.373547094
119,Netherlands,55569.44,0.890975025
120,New Zealand,41522.477,0.358352498
121,Nicaragua,5024.2754,16.93583868
123,Nigeria,4983.6753,9.698005613
125,Norway,73668.79,0.277746793
126,Oman,30723.287,0.251457286
127,Pakistan,5026.2085,6.21734837
128,Palestine,7386.203,0.427424212
129,Panama,29879.904,8.558407913
131,Peru,12236.712,4.315995078
132,Philippines,8448.533,37.23096275
133,Poland,31985.158,0.372782939
134,Portugal,31796.8,0.373362018
135,Qatar,114100.81,0.540960452
136,Romania,27888.36,2.693570875
137,Russia,28526.293,2.491149775
139,Saint Kitts and Nevis,22938.94,1.830188679
140,Saint Lucia,14237.587,23.36612022
141,Saint Vincent and the Grenadines,11101.596,11.12612613
142,Sao Tome and Principe,3784.7568,9.623255814
143,Saudi Arabia,51824.88,0.209402084
144,Senegal,3247.833,4.029209622
146,Seychelles,27783.162,0.336734694
147,Sierra Leone,1875.1897,11.67784462
148,Singapore,82336.34,0.425223983
150,Slovakia,27473.168,0.315008246
151,Slovenia,34093.465,0.405964406
152,South Africa,12536.135,12.09855186
153,South Korea,42219.47,0.237306003
154,Spain,40366.4,0.435415196
155,Sri Lanka,13290.122,7.290658413
156,Sudan,4230.835,18.25672109
157,Suriname,14480.707,39.47160069
158,Sweden,52433.336,0.423973695
160,Syria,7210.547,0.029408319
161,Taiwan,46761.25,0.315554808
163,Tanzania,2358.761,29.59055254
164,Thailand,17116.309,19.55720564
165,Togo,2235.2266,15.06842366
166,Trinidad and Tobago,28643.447,52.42939068
167,Tunisia,11090.384,24.7574177
168,Turkey,26947.576,19.85029366
172,Ukraine,13144.867,8.950697822
173,United Arab Emirates,66112.72,0.525534746
174,United Kingdom,44274.957,0.442973493
175,United States,62589.0,0.812815117
176,Uruguay,20545.422,26.75332178
178,Venezuela,251.09236,23.54576378
179,Vietnam,7506.817,11.53604528
180,Yemen,1777.2511,10.00401207
182,Zimbabwe,2787.659,35.83919426
