,Entity,Year,Estimated historic plastic fate,Global plastics production,GPP fate
0,Discarded,1980,100.0,70000000,70000000.0
1,Incinerated,1980,0.0,70000000,0.0
2,Recycled,1980,0.0,70000000,0.0
3,Discarded,1981,98.3,72000000,70776000.0
4,Incinerated,1981,1.7,72000000,1224000.0
5,Recycled,1981,0.0,72000000,0.0
6,Discarded,1982,97.6,73000000,71248000.0
7,Incinerated,1982,2.4,73000000,1752000.0
8,Recycled,1982,0.0,73000000,0.0
9,Discarded,1983,96.9,80000000,77520000.0
10,Incinerated,1983,3.1,80000000,2480000.0
11,Recycled,1983,0.0,80000000,0.0
12,Discarded,1984,96.2,86000000,82732000.0
13,Incinerated,1984,3.8,86000000,3268000.0
14,Recycled,1984,0.0,86000000,0.0
15,Discarded,1985,95.5,90000000,85950000.0
16,Incinerated,1985,4.5,90000000,4050000.0
17,Recycled,1985,0.0,90000000,0.0
18,Discarded,1986,94.8,96000000,91008000.0
19,Incinerated,1986,5.2,96000000,4992000.0
20,Recycled,1986,0.0,96000000,0.0
21,Discarded,1987,94.1,104000000,97864000.0
22,Incinerated,1987,5.9,104000000,6136000.0
23,Recycled,1987,0.0,104000000,0.0
24,Discarded,1988,92.8,110000000,102080000.0
25,Incinerated,1988,6.6,110000000,7260000.0
26,Recycled,1988,0.6,110000000,660000.0
27,Discarded,1989,91.4,114000000,104196000.0
28,Incinerated,1989,7.3,114000000,8322000.0
29,Recycled,1989,1.3,114000000,1482000.0
30,Discarded,1990,90.0,120000000,108000000.0
31,Incinerated,1990,8.0,120000000,9600000.0
32,Recycled,1990,2.0,120000000,2400000.0
33,Discarded,1991,88.6,124000000,109864000.0
34,Incinerated,1991,8.7,124000000,10788000.0
35,Recycled,1991,2.7,124000000,3348000.0
36,Discarded,1992,87.2,132000000,115104000.0
37,Incinerated,1992,9.4,132000000,12408000.0
38,Recycled,1992,3.4,132000000,4488000.0
39,Discarded,1993,85.8,137000000,117546000.0
40,Incinerated,1993,10.1,137000000,13837000.0
41,Recycled,1993,4.1,137000000,5617000.0
42,Discarded,1994,84.4,151000000,127444000.0
43,Incinerated,1994,10.8,151000000,16308000.0
44,Recycled,1994,4.8,151000000,7248000.0
45,Discarded,1995,83.0,156000000,129480000.0
46,Incinerated,1995,11.5,156000000,17940000.0
47,Recycled,1995,5.5,156000000,8580000.0
48,Discarded,1996,81.6,168000000,137087999.99999997
49,Incinerated,1996,12.2,168000000,20495999.999999996
50,Recycled,1996,6.2,168000000,10416000.0
51,Discarded,1997,80.2,180000000,144360000.0
52,Incinerated,1997,12.9,180000000,23220000.0
53,Recycled,1997,6.9,180000000,12420000.0
54,Discarded,1998,78.8,188000000,148144000.0
55,Incinerated,1998,13.6,188000000,25568000.0
56,Recycled,1998,7.6,188000000,14288000.0
57,Discarded,1999,77.4,202000000,156348000.00000003
58,Incinerated,1999,14.3,202000000,28886000.0
59,Recycled,1999,8.3,202000000,16766000.000000002
60,Discarded,2000,76.0,213000000,161880000.0
61,Incinerated,2000,15.0,213000000,31950000.0
62,Recycled,2000,9.0,213000000,19170000.0
63,Discarded,2001,74.6,218000000,162627999.99999997
64,Incinerated,2001,15.7,218000000,34226000.0
65,Recycled,2001,9.7,218000000,21145999.999999996
66,Discarded,2002,73.2,231000000,169092000.0
67,Incinerated,2002,16.4,231000000,37883999.99999999
68,Recycled,2002,10.4,231000000,24024000.0
69,Discarded,2003,71.8,241000000,173038000.0
70,Incinerated,2003,17.1,241000000,41211000.00000001
71,Recycled,2003,11.1,241000000,26751000.0
72,Discarded,2004,70.4,256000000,180224000.0
73,Incinerated,2004,17.8,256000000,45568000.0
74,Recycled,2004,11.8,256000000,30208000.0
75,Discarded,2005,69.0,263000000,181470000.0
76,Incinerated,2005,18.5,263000000,48655000.0
77,Recycled,2005,12.5,263000000,32875000.0
78,Discarded,2006,67.6,280000000,189280000.0
79,Incinerated,2006,19.2,280000000,53760000.0
80,Recycled,2006,13.2,280000000,36960000.0
81,Discarded,2007,66.2,295000000,195290000.0
82,Incinerated,2007,19.9,295000000,58705000.0
83,Recycled,2007,13.9,295000000,41005000.0
84,Discarded,2008,64.8,281000000,182088000.0
85,Incinerated,2008,20.6,281000000,57886000.0
86,Recycled,2008,14.6,281000000,41026000.0
87,Discarded,2009,63.4,288000000,182592000.0
88,Incinerated,2009,21.3,288000000,61344000.0
89,Recycled,2009,15.3,288000000,44064000.0
90,Discarded,2010,62.0,313000000,194060000.0
91,Incinerated,2010,22.0,313000000,68860000.0
92,Recycled,2010,16.0,313000000,50080000.0
93,Discarded,2011,60.6,325000000,196950000.0
94,Incinerated,2011,22.7,325000000,73775000.0
95,Recycled,2011,16.7,325000000,54275000.0
96,Discarded,2012,59.2,338000000,200096000.0
97,Incinerated,2012,23.4,338000000,79091999.99999999
98,Recycled,2012,17.4,338000000,58811999.99999999
99,Discarded,2013,57.8,352000000,203456000.0
100,Incinerated,2013,24.1,352000000,84832000.00000001
101,Recycled,2013,18.1,352000000,63712000.00000001
102,Discarded,2014,56.4,367000000,206988000.0
103,Incinerated,2014,24.8,367000000,91016000.0
104,Recycled,2014,18.8,367000000,68996000.0
105,Discarded,2015,55.0,381000000,209550000.0
106,Incinerated,2015,25.5,381000000,97155000.0
107,Recycled,2015,19.5,381000000,74295000.0
